spring,track,clutchspeed,laptime,maxspeed,minspeed,avgspeed,F_Ride_AVG,R_Ride_AVG,F_Ride_MIN,R_Ride_MIN,F_Ride_MAX,R_Ride_MAX
270,1,8000,4.089,62.175,6.0003,41.032,1.2238,0.80803,0.97357,0.6304,1.5611,1.2225
275,1,8000,4.089,62.174,6.0003,41.031,1.2242,0.81401,0.9777,0.63806,1.5559,1.223
280,1,8000,4.089,62.173,6.0003,41.031,1.2245,0.81987,0.9817,0.64561,1.551,1.2235
285,1,8000,4.089,62.173,6.0003,41.03,1.2249,0.8256,0.98557,0.65301,1.5462,1.224
290,1,8000,4.089,62.177,6.0003,41.039,1.2252,0.83111,0.98926,0.6602,1.5416,1.2244
295,1,8000,4.089,62.176,6.0003,41.038,1.2255,0.83662,0.99289,0.66726,1.5371,1.2248
300,1,8000,4.089,62.176,6.0003,41.037,1.2258,0.84201,0.99641,0.67413,1.5328,1.2252
305,1,8000,4.089,62.175,6.0003,41.037,1.2262,0.84729,0.99983,0.68081,1.5286,1.2256
310,1,8000,4.089,62.175,6.0003,41.036,1.2265,0.85243,1.0031,0.68729,1.5246,1.226
315,1,8000,4.089,62.175,6.0003,41.036,1.2268,0.85741,1.0064,0.69356,1.5207,1.2264
320,1,8000,4.089,62.174,6.0003,41.035,1.2271,0.86225,1.0095,0.69963,1.5169,1.2267
325,1,8000,4.089,62.174,6.0003,41.035,1.2274,0.86698,1.0126,0.7055,1.5132,1.227
330,1,8000,4.089,62.174,6.0003,41.034,1.2277,0.87162,1.0156,0.71117,1.5097,1.2274
335,1,8000,4.089,62.174,6.0003,41.034,1.228,0.87616,1.0185,0.71666,1.5062,1.2277
340,1,8000,4.089,62.173,6.0003,41.033,1.2283,0.88061,1.0213,0.72195,1.5029,1.228
345,1,8000,4.089,62.172,6.0003,41.032,1.2285,0.88498,1.0241,0.72709,1.4996,1.2283
350,1,8000,4.089,62.172,6.0003,41.032,1.2288,0.88927,1.0268,0.73205,1.4965,1.2286
355,1,8000,4.089,62.171,6.0003,41.031,1.2291,0.89348,1.0294,0.73686,1.4934,1.2289
360,1,8000,4.089,62.171,6.0003,41.031,1.2293,0.89761,1.032,0.74154,1.4904,1.2292
365,1,8000,4.089,62.17,6.0003,41.03,1.2296,0.90165,1.0345,0.74609,1.4875,1.2294
370,1,8000,4.089,62.17,6.0003,41.029,1.2298,0.9056,1.0369,0.75052,1.4847,1.2297
375,1,8000,4.089,62.17,6.0003,41.029,1.23,0.90946,1.0393,0.75484,1.4819,1.2299
380,1,8000,4.089,62.169,6.0003,41.028,1.2303,0.91326,1.0417,0.75905,1.4793,1.2302
385,1,8000,4.089,62.169,6.0003,41.028,1.2305,0.91699,1.0439,0.76317,1.4767,1.2304
390,1,8000,4.089,62.168,6.0003,41.027,1.2307,0.92066,1.0462,0.76719,1.4741,1.2306
395,1,8000,4.089,62.168,6.0003,41.026,1.2309,0.92427,1.0483,0.77113,1.4716,1.2309
400,1,8000,4.089,62.167,6.0003,41.026,1.2311,0.92782,1.0504,0.77498,1.4692,1.2311
405,1,8000,4.089,62.167,6.0003,41.025,1.2313,0.93131,1.0525,0.77875,1.4669,1.2313
410,1,8000,4.089,62.166,6.0003,41.025,1.2315,0.93474,1.0545,0.78245,1.4646,1.2315
415,1,8000,4.089,62.165,6.0003,41.024,1.2317,0.93812,1.0565,0.78607,1.4624,1.2317
